  242  (> 7)    157  Jacob Massengale      Bethel (Ind.)                           30:42.5  3:50/K    SR
  243  (> 7)    159  Christopher Navetta   Bethel (Ind.)                           30:42.6  3:50/K    FR
  244  (> 7)    335  Leland Nelson         DePauw                                  30:49.3  3:51/K    FR
  245  (> 7)    259  Nathan Vanderwall     Cornerstone                             30:58.7  3:52/K    SR
  246  (> 7)     59  Calvin Scott          Alma                                    31:00.2  3:53/K    21
  247  (> 7)    388  Aaron Hellman         Heidelberg                              31:01.2  3:53/K    FR
  248    132    360  Carlos Menjivar       Grand Rapids Community                  31:05.0  3:53/K    21
  249    DNS    356  Tyler Fisk            Una - GRCC                              31:06.5  3:53/K    22
  250  (> 7)    327  Jack Evans            DePauw                                  31:07.9  3:53/K    SO
  251    133    470  Tanner Bednar         Lake Forest                             31:10.3  3:54/K    SO
  252  (> 7)     31  Robert Schultz        Adrian                                  31:15.0  3:54/K    JR
  253  (> 7)    197  Marshall Morehead     Calvin-B                                31:17.3  3:55/K    FR
  254    134    499  Bryan Giczewski       Madonna                                 31:17.4  3:55/K    21
  255  (> 7)    322  Brad Burch            DePauw                                  31:20.6  3:55/K    SO
  256    135    480  Adnan Meskic          Lake Forest                             31:23.0  3:55/K    JR
  257  (> 7)    325  Alec Da Silveira      DePauw                                  31:25.7  3:56/K    FR
  258  (> 7)    272  Justin Jewell         Davenport                               31:27.8  3:56/K    SR
  259  (> 7)     28  Kyle McLouth          Adrian                                  31:31.5  3:56/K    SO
  260  (> 7)     57  Jamey Paron           Alma                                    31:32.9  3:57/K    23
  261  (> 7)    154  Travis Jordan         Bethel (Ind.)                           31:38.2  3:57/K    FR
  262    136    445  Paul Tshele           Kalamazoo                               31:49.0  3:59/K    24
  263    137    486  Jacob Troy            Lake Forest                             31:49.6  3:59/K    FR
  264  (> 7)    377  Garry Armstrong       Heidelberg                              31:49.8  3:59/K    FR
  265    138    363  Elijah Potter         Grand Rapids Community                  31:52.4  3:59/K    21
  266  (> 7)    555  Dustin Lumadue        Ohio Northern                           32:05.0  4:01/K    FR
  267    139    503  Erick Roth            Madonna                                 32:07.9  4:01/K    24
  268    140    358  Giancarlo Hernandez   Grand Rapids Community                  32:08.2  4:01/K    21
  269  (< 5)    680  Campbell Mike         Glen Oaks CC                            32:11.3  4:01/K    fr
  270  (> 7)    132  Jason Young           Baldwin Wallace                         32:23.8  4:03/K    JR
  271  (> 7)    483  Austin Rosenwinkel    Lake Forest                             32:28.4  4:04/K    SO
  272  (< 5)    679  Clementz Matt         Glen Oaks CC                            32:32.4  4:04/K    FR
  273  (> 7)    556  Alec Lunney           Ohio Northern                           32:35.0  4:04/K    FR
  274    141    362  Caleb Mounts          Grand Rapids Community                  32:35.5  4:04/K    21
  275  (> 7)     21  Harrison Lange        Adrian                                  32:37.3  4:05/K    FR
  276    142    361  Jarquell Mitchel      Grand Rapids Community                  32:45.4  4:06/K    21
  277    143    502  Tommy Martin          Madonna                                 32:47.2  4:06/K    22
  278  (> 7)    129  Tate Stoll            Baldwin Wallace                         32:49.5  4:06/K    SO
  279  (> 7)    408  James Dillinger       Indiana Tech                            32:53.6  4:07/K    FR
  280  (> 7)    553  Greg Krasnoschlik     Ohio Northern                           32:57.3  4:07/K    SR
  281  (> 7)     55  Nick Kiessel          Alma                                    33:14.6  4:09/K    23
  282  (> 7)     17  Rob DeSantis          Adrian                                  33:17.7  4:10/K    FR
  283  (> 7)     19  Tristen Epling        Adrian                                  33:19.1  4:10/K    FR
  284  (> 7)    123  Seth Duncan           Baldwin Wallace                         33:31.1  4:11/K    SO
  285  (< 5)    450  Kevin Kruizenga       Kuyper                                  33:47.0  4:13/K    JR
  286  (< 5)    451  Grant Schlinz         Kuyper                                  34:52.0  4:22/K    SO
  287  (> 7)    478  Paul Jones            Lake Forest                             35:35.6  4:27/K    FR
  288  (> 7)    477  Patrick Hilton        Lake Forest                             38:01.6  4:45/K    FR
  289  (< 5)    348  Trenton Loomis        Grace Bible (MI)                        38:22.9  4:48/K    22
  290  (> 7)    355  Tyson DeWald          Grand Rapids Community                  38:39.9  4:50/K    21
  291  (< 5)    347  Nicolas Brown         Grace Bible (MI)                        39:41.3  4:58/K    21
